-	buster	chatter	joe	the	a	bear	squirrel	tree	fish	log	angry	frightened	little	tall	chased	saw	said	thought	was	put	on	$	S	X	N	Y	Q	P	D	M	A	V	R
12	R25	R25	R25	R25	R25	-	-	-	-	-	R25	R25	R25	R25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
13	R26	R26	R26	R26	R26	-	-	-	-	-	R26	R26	R26	R26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14	R27	R27	R27	R27	R27	-	-	-	-	-	R27	R27	R27	R27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15	R28	R28	R28	R28	R28	-	-	-	-	-	R28	R28	R28	R28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16	R29	R29	R29	R29	R29	-	-	-	-	-	R29	R29	R29	R29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R1	R1	R1	R1	R1	R1	R1	R1	-	-	-	-	-	-	-	-	-	-	-
18	-	-	-	-	-	S24	S25	S26	S27	S28	S20	S21	S22	S23	-	-	-	-	-	-	-	-	-	-	32	-	-	-	-	19	18	-	-
19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R4	R4	R4	R4	R4	R4	R4	R4	-	-	-	-	-	-	-	-	-	-	-
20	-	-	-	-	-	R20	R20	R20	R20	R20	R20	R20	R20	R20	-	-	-	-	-	-	-	R20	-	-	-	-	-	-	-	-	-	-	-
21	-	-	-	-	-	R21	R21	R21	R21	R21	R21	R21	R21	R21	-	-	-	-	-	-	-	R21	-	-	-	-	-	-	-	-	-	-	-
22	-	-	-	-	-	R22	R22	R22	R22	R22	R22	R22	R22	R22	-	-	-	-	-	-	-	R22	-	-	-	-	-	-	-	-	-	-	-
23	-	-	-	-	-	R23	R23	R23	R23	R23	R23	R23	R23	R23	-	-	-	-	-	-	-	R23	-	-	-	-	-	-	-	-	-	-	-
24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R15	R15	R15	R15	R15	R15	R15	R15	-	-	-	-	-	-	-	-	-	-	-
25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R16	R16	R16	R16	R16	R16	R16	R16	-	-	-	-	-	-	-	-	-	-	-
26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R17	R17	R17	R17	R17	R17	R17	R17	-	-	-	-	-	-	-	-	-	-	-
27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R18	R18	R18	R18	R18	R18	R18	R18	-	-	-	-	-	-	-	-	-	-	-
28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R19	R19	R19	R19	R19	R19	R19	R19	-	-	-	-	-	-	-	-	-	-	-
29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R5	-	-	-	-	-	-	-	-	-	-	-
30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S11	S12	S13	S14	S15	S16	S35	R6	-	-	-	9	33	-	-	-	-	10	34
31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R7	-	-	-	-	-	-	-	-	-	-	-
32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R3	R3	R3	R3	R3	R3	R3	R3	-	-	-	-	-	-	-	-	-	-	-
33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R8	-	-	-	-	-	-	-	-	-	-	-
34	S6	S7	S8	S4	S5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36	-	-	-	3	2	-	-	-	-
35	R30	R30	R30	R30	R30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R9	-	-	-	-	-	-	-	-	-	-	-
